Unnamed: 0.1;Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo agregado
749;770;Apartamento;Recreio dos Bandeirantes;2;2;1;83;1900.0;768.0;0.0;22.89;Apartamento
750;771;Apartamento;Tijuca;2;1;1;80;1500.0;500.0;30.0;18.75;Apartamento
751;772;Apartamento;Copacabana;2;0;1;122;4400.0;585.0;0.0;36.07;Apartamento
752;773;Apartamento;Barra da Tijuca;1;1;0;80;5000.0;1100.0;200.0;62.5;Apartamento
753;774;Apartamento;Leme;1;0;1;90;3500.0;550.0;0.0;38.89;Apartamento
754;775;Apartamento;Lagoa;4;3;1;210;7200.0;2700.0;0.0;34.29;Apartamento
755;776;Apartamento;Tijuca;3;1;2;100;2500.0;1300.0;283.0;25.0;Apartamento
756;777;Apartamento;Tijuca;1;0;0;34;1400.0;251.0;24.0;41.18;Apartamento
757;778;Apartamento;Recreio dos Bandeirantes;4;2;1;200;2950.0;1000.0;350.0;14.75;Apartamento
758;779;Apartamento;Ipanema;3;0;0;85;3450.0;654.0;143.0;40.59;Apartamento
759;780;Apartamento;Ipanema;3;1;1;120;6500.0;1500.0;450.0;54.17;Apartamento
760;781;Apartamento;Laranjeiras;1;1;0;57;1800.0;694.0;94.0;31.58;Apartamento
